Laureate name,p-value,Gender
"ohsumi, y",0.07246376811594203,male
youyou tu,0.5,female
"omura, s",0.08818342151675485,male
"campbell, wc",0.6,male
"moser, ei",0.3125,female
"okeefe, j",0.012345679012345678,male
"moser, mb",0.38636363636363635,male
"sudhof, tc",0.056112224448897796,male
"schekman, r",0.010416666666666666,male
"rothman, je",0.3821138211382114,male
"yamanaka, s",0.20161290322580644,male
"gurdon, jb",0.020618556701030927,male
"steinman, rm",0.008522727272727272,male
"hoffmann, ja",0.49740932642487046,male
"beutler, b",0.3111111111111111,male
"edwards, rg",0.31512605042016806,male
"szostak, jw",0.024,male
"greider, cw",0.010869565217391304,female
"blackburn, eh",0.03184713375796178,female
"barresinoussi, f",0.017543859649122806,female
"hausen, hz",0.3804878048780488,male
"montagnier, l",0.11176470588235295,male
"evans, mj",0.09803921568627451,male
"capecchi, mr",0.08018867924528301,male
"smithies, o",0.24113475177304963,male
"mello, cc",0.15384615384615385,male
"fire, a",0.13636363636363635,male
"warren, jr",0.2,male
"marshall, bj",0.017094017094017096,male
"buck, l",0.11538461538461539,female
"axel, r",0.543046357615894,male
"mansfield, p",0.12048192771084337,male
"lauterbur, pc",0.27835051546391754,male
"horvitz, hr",0.07035175879396985,male
"brenner, s",0.15772870662460567,male
"sulston, je",0.21428571428571427,male
"nurse, p",0.1330049261083744,male
"hunt, t",0.2463768115942029,male
"hartwell, lh",0.19480519480519481,male
"kandel, er",0.055793991416309016,male
greengar.p,0.023578363384188627,male
"carlsson, a",0.03547671840354767,male
"blobel, g",0.08598726114649681,male
"murad, f",0.1067193675889328,male
"furchgott, rf",0.5,male
"ignarro, lj",0.17525773195876287,male
"prusiner, sb",0.08863198458574181,male
zinkerna.rm,0.005012531328320802,male
"doherty, pc",0.04024767801857585,male
"nussleinvolhard, c",0.014925373134328358,female
"wieschaus, e",0.10309278350515463,male
"lewis, eb",0.3333333333333333,male
"rodbell, m",0.07272727272727272,male
"gilman, ag",0.12280701754385964,male
"sharp, pa",0.0700280112044818,male
"roberts, rj",0.08712871287128712,male
"fischer, eh",0.1625,male
"krebs, eg",0.03205128205128205,male
"sakmann, b",0.10483870967741936,male
"neher, e",0.14218009478672985,male
thomas ed,0.017191977077363897,male
"murray, je",0.0055248618784530384,male
"varmus, he",0.10410094637223975,male
"bishop, jm",0.15614617940199335,male
"black, jw",0.05154639175257732,male
"hitchings, gh",0.34285714285714286,male
"elion, gb",0.14049586776859505,female
"tonegawa, s",0.021875,male
"cohen, s",0.006756756756756757,male
"levimontalcini, r",0.04807692307692308,female
"brown, ms",0.010309278350515464,male
"goldstein, jl",0.031496062992125984,male
"milstein, c",0.25757575757575757,male
"kohler, g",0.01818181818181818,male
"jerne, nk",0.0625,male
"mcclintock, b",0.6666666666666666,female
samuelss.b,0.1774193548387097,male
"vane, jr",0.15718157181571815,male
"bergstrom, s",0.4444444444444444,male
"hubel, dh",0.11764705882352941,male
"sperry, rw",0.36538461538461536,male
"wiesel, tn",0.14285714285714285,male
"snell, gd",0.264,male
"dausset, j",0.004524886877828055,male
benacerr.b,0.0781758957654723,male
"hounsfield, gn",0.14285714285714285,male
"cormack, am",0.05555555555555555,male
"nathans, d",0.16842105263157894,male
"arber, w",0.06086956521739131,male
"smith, ho",0.13141025641025642,male
"schally, av",0.08453922315308454,male
guillemi.r,0.25833333333333336,male
"yalow, rs",0.12796208530805686,female
"gajdusek, dc",0.08486238532110092,male
"blumberg, bs",0.18867924528301888,male
baltimor.d,0.05656934306569343,male
"temin, hm",0.20869565217391303,male
"dulbecco, r",0.041666666666666664,male
"duve, cd",0.020833333333333332,male
"palade, ge",0.06111111111111111,male
"claude, a",0.6363636363636364,male
karl von frisch,0.10526315789473684,male
"lorenz, k",0.09259259259259259,male
"edelman, gm",0.004830917874396135,male
"porter, rr",0.13157894736842105,male
"sutherland, ew",0.13043478260869565,male
von euler us,0.3524590163934426,male
"axelrod, j",0.026706231454005934,male
"katz, b",0.19230769230769232,male
"luria, se",0.08333333333333333,male
"hershey, ad",0.21212121212121213,male
"delbruck, m",0.24324324324324326,male
"nirenberg, m",0.007407407407407408,male
"khorana, hg",0.10759493670886076,male
"holley, rw",0.5569620253164557,male
"granit, r",0.1038961038961039,male
"hartline, hk",0.4838709677419355,male
"wald, g",0.39215686274509803,male
"huggins, c",0.17424242424242425,male
"rous, p",0.01910828025477707,male
"monod, j",0.3793103448275862,male
"lwoff, a",0.13333333333333333,male
"jacob, f",0.08928571428571429,male
"lynen, f",0.16049382716049382,male
"bloch, k",0.004291845493562232,male
"eccles, jc",0.24680851063829787,male
"hodgkin, al",0.24691358024691357,male
"huxley, af",0.32,male
"wilkins, mhf",0.1,male
"watson, jd",0.02197802197802198,male
"crick, fhc",0.13043478260869565,male
"vonbekesy, g",0.5,male
"medawar, pb",0.2564102564102564,male
"burnet, fm",0.5224719101123596,male
"kornberg, a",0.13218390804597702,male
"ochoa, s",0.14754098360655737,male
"lederberg, j",0.021739130434782608,male
"beadle, gw",0.7,male
"tatum, el",0.07792207792207792,male
"bovet, d",0.07142857142857142,male
"richards, dw",0.4230769230769231,male
"cournand, a",0.27586206896551724,male
"theorell, h",0.01694915254237288,male
"robbins, fc",0.08,male
"weller, th",0.08695652173913043,male
"enders, jf",0.37168141592920356,male
"lipmann, f",0.028037383177570093,male
"krebs, ha",0.02564102564102564,male
"waksman, sa",0.5927601809954751,male
"theiler, m",0.3,male
"kendall, ec",0.35185185185185186,male
"reichstein, t",0.031161473087818695,male
"hench, ps",0.7368421052631579,male
"hess, wr",0.2,male
"moniz, e",1.0,male
"muller, p",0.5,male
"cori, gt",0.43478260869565216,female
"houssay, ba",0.475,male
"cori, cf",0.3020833333333333,male
"muller, hj",0.31451612903225806,male
"chain, e",0.043478260869565216,male
"fleming, a",0.5192307692307693,male
"florey, hw",0.4117647058823529,male
"erlanger, j",0.45121951219512196,male
"gasser, hs",0.22448979591836735,male
"doisy, ea",0.6515151515151515,male
"dam, h",0.015267175572519083,male
"domagk, g",0.5,male
"heymans, c",0.08823529411764706,male
"gyorgyi, as",1.0,male
"dale, hh",0.3333333333333333,male
"loewi, o",1.0,male
"spemann, h",0.5714285714285714,male
"minot, gr",0.43333333333333335,male
"whipple, gh",0.21800947867298578,male
"murphy, wp",0.06521739130434782,male
"morgan, th",0.3170731707317073,male
"adrian, ed",0.20512820512820512,male
"warburg, o",0.03488372093023256,male
"hopkins, fg",0.8888888888888888,male
"nicolle, c",0.3333333333333333,male
"einthoven, w",1.0,male
"macleod, jjr",0.34615384615384615,male
"banting, fg",0.14285714285714285,male
"meyerhof, o",0.07142857142857142,male
"hill, av",0.006711409395973154,male
"krogh, a",0.13333333333333333,male
charles robert richet,0.3333333333333333,male
"carrel, a",0.043010752688172046,male
