Laureate name,p-value,Gender
"thouless, dj",0.21678321678321677,male
"kosterlitz, jm",0.06756756756756757,male
"haldane, fdm",0.14772727272727273,male
"kajita, t",0.22935779816513763,male
"mcdonald, ab",0.5670103092783505,male
"akasaki, isamu",0.08116385911179173,male
"amano, hiroshi",0.016516516516516516,male
"nakamura, shuji",0.031654676258992806,male
"englert, f",0.01639344262295082,male
"higgs, pw",0.5,male
"haroche, serge",0.5120481927710844,male
"wineland, david",0.3933649289099526,male
"perlmutter, s",0.20261437908496732,male
"schmidt, bp",0.10160427807486631,male
"riess, adam g.",0.047058823529411764,male
"novoselov, kostya s.",0.054945054945054944,male
"geim, andre k.",0.30927835051546393,male
"kao, kc",1.0,male
"boyle, ws",0.3333333333333333,male
"smith, ge",0.14285714285714285,male
"nambu, yoichiro",0.2571428571428571,male
"kobayash, m",0.054441260744985676,male
"maskawa, t",0.28125,male
"fert, a",0.2222222222222222,male
"grunberg, p",0.140625,male
"mather, jc",0.22549019607843138,male
"smoot, gf",0.270042194092827,male
"glauber, rj",0.12307692307692308,male
"hall, jl",0.743421052631579,male
"hansch, tw",0.4442105263157895,male
"wilczek, f",0.005050505050505051,male
"gross, dj",0.2222222222222222,male
"politzer, hd",0.018867924528301886,male
"abrikosov, aa",0.009259259259259259,male
"leggett, aj",0.006802721088435374,male
"ginzburg, vl",0.007936507936507936,male
"koshiba, m",0.37755102040816324,male
"giacconi, r",0.017094017094017096,male
raymond davis jr.,0.14285714285714285,male
"cornell, ea",0.08450704225352113,male
"ketterle, w",0.11016949152542373,male
"wiemann, ce",0.40625,male
kroemer herbert ,0.14979757085020243,male
"alferov, zi",0.08754208754208755,male
"kilby, js",0.25,male
"veltman, m",0.4594594594594595,male
"thooft, g",0.0392156862745098,male
"stormer, hl",0.10837438423645321,male
"tsui, dc",0.18629550321199143,male
"laughlin, rb",0.08,male
"phillips, wd",0.3812154696132597,male
"cohentannoudji, c",0.6964285714285714,male
"chu, s",0.07981220657276995,male
"lee, dm",0.10638297872340426,male
"osheroff, dd",0.0547945205479452,male
"richards, rc",0.17391304347826086,male
"perl, ml",0.054140127388535034,male
"reines, f",0.00847457627118644,male
"shull, cg",0.2714285714285714,male
"brockhouse, bn",0.32142857142857145,male
"hulse, ra",0.043478260869565216,male
"taylor, jh",0.18461538461538463,male
"charpak, g",0.11374407582938388,male
"degennes, pg",0.5,male
"taylor, re",0.023255813953488372,male
"friedman, ji",0.036885245901639344,male
"kendall, hw",0.2,male
"ramsey, nf",0.06842105263157895,male
"dehmelt, hg",0.07692307692307693,male
"paul, w",0.043478260869565216,male
"steinberger, j",0.15040650406504066,male
"schwartz, m",0.4,male
"lederman, lm",0.2085889570552147,male
"muller, ka",0.20334928229665072,male
"bednorz, jg",0.10185185185185185,male
"binnig, g",0.04054054054054054,male
"rohrer, h",0.12307692307692308,male
"ruska, e",0.1,male
"vonklitzing, k",1.0,male
"rubbia, c",0.26109660574412535,male
"vandermeer, s",0.5,male
"fowler, wa",0.21052631578947367,male
"chandrasekhar, s",0.00267379679144385,male
"wilson, kg",0.07272727272727272,male
"siegbahn, k",0.04819277108433735,male
"schawlow, al",0.0916030534351145,male
"bloember, n",0.16194331983805668,male
"cronin, jw",0.09482758620689655,male
"fitch, v",0.18181818181818182,male
"salam, a",1.0,male
"weinberg, s",0.20353982300884957,male
"glashow, sl",0.02702702702702703,male
"kapitza, pl",0.25,male
"wilson, rw",0.06741573033707865,male
"penzias, aa",0.015384615384615385,male
"mott, n",0.107981220657277,male
"anderson, pw",0.051118210862619806,male
"van vleck, jh",0.3333333333333333,male
"vanvleck, jh",0.3333333333333333,male
"ting, scc",0.05581395348837209,male
"richter, b",0.1411764705882353,male
"bohr, a.",0.36363636363636365,male
"mottelson, br",0.022222222222222223,male
"rainwater, j",0.04411764705882353,male
"ryle, m",0.013888888888888888,male
"hewish, a",0.33962264150943394,male
"esaki, l",0.005714285714285714,male
"giaever, i",0.037037037037037035,male
"josephson, bd",0.1,male
"schrieffer, jr",0.011764705882352941,male
"cooper, ln",0.039603960396039604,male
"bardeen, j",0.10087719298245613,male
"gabor, d",0.1111111111111111,male
"neel, l",0.043478260869565216,male
"alfven, h",0.015384615384615385,male
"gellmann, m",0.18421052631578946,male
"alvarez, lw",0.4642857142857143,male
"bethe, ha",0.11627906976744186,male
"kastler, a",0.23333333333333334,male
"feynman, rp",0.05333333333333334,male
"schwinger, j",0.1419753086419753,male
"tomonaga, si",0.4,male
"prokhorov, am",0.003048780487804878,male
"townes, ch",0.24521072796934865,male
"basov, ng",0.004424778761061947,male
"jensen, jhd",0.25,male
"mayer, mg",0.3333333333333333,female
"wigner, ep",0.04395604395604396,male
"landau, l",0.5,male
"mossbauer, rl",0.047619047619047616,male
"hofstadter, r",0.08152173913043478,male
"glaser, da",0.01818181818181818,male
"chamberlain, o",0.27941176470588236,male
"segre, e",0.7555555555555555,male
"cherenkov, pa",0.09090909090909091,male
"tamm, i",1.0,male
"frank, i",1.0,male
"lee, td",0.0821917808219178,male
"yang, cn",0.0916030534351145,male
"brattain, wh",0.10526315789473684,male
"shockley, w",0.2564102564102564,male
"kusch, p",0.2033898305084746,male
"lamb, we",0.1527777777777778,male
"born, m",0.06832298136645963,male
"bothe, w",0.18181818181818182,male
"zernike, f",0.2,male
"bloch, f",0.4,male
"purcell, em",0.043478260869565216,male
"walton, ets",1.0,male
"cockcroft, jd",1.0,male
"powell, cf",0.3,male
"yukawa, h",0.03125,male
"blackett, pms",0.14285714285714285,male
"appleton, ev",0.5,male
"bridgman, pw",0.020202020202020204,male
"pauli, w",1.0,male
